DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
1002.803	 0.0998
1006.660	 0.1146
1010.517	 0.1532
1014.373	 0.2087
1018.230	 0.2715
1022.087	 0.3235
1025.944	 0.3742
1029.801	 0.4210
1033.658	 0.4525
1037.515	 0.4804
1041.372	 0.4990
1045.229	 0.5042
1049.086	 0.4994
1052.943	 0.4897
1056.800	 0.4810
1060.657	 0.4887
1064.514	 0.5145
1068.371	 0.5592
1072.227	 0.5958
1076.084	 0.6128
1079.941	 0.5953
1083.798	 0.5603
1087.655	 0.5243
1091.512	 0.4919
1095.369	 0.4634
1099.226	 0.4272
1103.083	 0.3955
1106.940	 0.3738
1110.797	 0.3679
1114.654	 0.3724
1118.511	 0.3694
1122.368	 0.3489
1126.225	 0.3182
1130.081	 0.2882
1133.938	 0.2706
1137.795	 0.2730
1141.652	 0.2845
1145.509	 0.3004
1149.366	 0.3167
1153.223	 0.3323
1157.080	 0.3368
1160.937	 0.3248
1164.794	 0.3000
1168.651	 0.2583
1172.508	 0.2151
1176.365	 0.1725
1180.222	 0.1391
1184.079	 0.1146
1187.935	 0.0977
1191.792	 0.0878
1195.649	 0.0848
1199.506	 0.0831
1203.363	 0.0819
1207.220	 0.0824
1211.077	 0.0827
1214.934	 0.0843
1218.791	 0.0915
1222.648	 0.1007
1226.505	 0.1095
1230.362	 0.1161
1234.219	 0.1213
1238.076	 0.1262
1241.933	 0.1312
1245.789	 0.1301
1249.646	 0.1299
1253.503	 0.1270
1257.360	 0.1230
1261.217	 0.1171
1265.074	 0.1123
1268.931	 0.1079
1272.788	 0.1002
1276.645	 0.0941
1280.502	 0.0921
1284.359	 0.0894
1288.216	 0.0879
1292.073	 0.0883
1295.930	 0.0885
1299.787	 0.0912
1303.644	 0.0958
1307.500	 0.1012
1311.357	 0.1039
1315.214	 0.1054
1319.071	 0.1038
1322.928	 0.1024
1326.785	 0.0996
1330.642	 0.0996
1334.499	 0.1022
1338.356	 0.1053
1342.213	 0.1087
1346.070	 0.1129
1349.927	 0.1130
1353.784	 0.1150
1357.641	 0.1216
1361.498	 0.1299
1365.354	 0.1400
1369.211	 0.1481
1373.068	 0.1566
1376.925	 0.1611
1380.782	 0.1596
1384.639	 0.1548
1388.496	 0.1506
1392.353	 0.1510
1396.210	 0.1548
1400.067	 0.1572
1403.924	 0.1558
1407.781	 0.1534
1411.638	 0.1517
1415.495	 0.1509
1419.352	 0.1464
1423.208	 0.1395
1427.065	 0.1359
1430.922	 0.1345
1434.779	 0.1395
1438.636	 0.1478
1442.493	 0.1522
1446.350	 0.1549
1450.207	 0.1602
1454.064	 0.1673
1457.921	 0.1670
1461.778	 0.1589
1465.635	 0.1399
1469.492	 0.1084
1473.349	 0.0607
1477.206	 0.0232
1481.062	 0.0052
1484.919	 -0.0026
1488.776	 -0.0078
1492.633	 -0.0054
1496.490	 0.0004
1500.347	 0.0121
1504.204	 0.0232
1508.061	 0.0455
1511.918	 0.0694
1515.775	 0.0882
1519.632	 0.1088
1523.489	 0.1222
1527.346	 0.1406
1531.203	 0.1573
1535.060	 0.1705
1538.916	 0.1828
1542.773	 0.1974
1546.630	 0.2016
1550.487	 0.2005
1554.344	 0.1911
1558.201	 0.1734
1562.058	 0.1480
1565.915	 0.1263
1569.772	 0.0973
1573.629	 0.0623
1577.486	 0.0264
1581.343	 0.0021
1585.200	 -0.0215
1589.057	 -0.0433
1592.914	 -0.0644
1596.770	 -0.0801
1600.627	 -0.0950
1604.484	 -0.1132
1608.341	 -0.1242
1612.198	 -0.1214
1616.055	 -0.1237
1619.912	 -0.1370
1623.769	 -0.1098
1627.626	 -0.1099
1631.483	 -0.1590
1635.340	 -0.1485
1639.197	 0.0379
1643.054	 0.0000
1646.911	 -0.0451
1650.768	 -0.0224
1654.624	 -0.0158
1658.481	 -0.0540
1662.338	 -0.0089
1666.195	 -0.0224
1670.052	 -0.0121
1673.909	 -0.0417
1677.766	 -0.0727
1681.623	 -0.0881
1685.480	 -0.1120
1689.337	 -0.1310
1693.194	 -0.1437
1697.051	 -0.1581
1700.908	 -0.1559
1704.765	 -0.1495
1708.622	 -0.1410
1712.478	 -0.1316
1716.335	 -0.1135
1720.192	 -0.0915
1724.049	 -0.0722
1727.906	 -0.0434
1731.763	 0.0074
1735.620	 0.0859
1739.477	 0.1639
1743.334	 0.2242
1747.191	 0.2361
1751.048	 0.1844
1754.905	 0.1085
1758.762	 0.0414
1762.619	 -0.0036
1766.476	 -0.0269
1770.332	 -0.0383
1774.189	 -0.0441
1778.046	 -0.0456
1781.903	 -0.0459
1785.760	 -0.0467
1789.617	 -0.0462
1793.474	 -0.0465
1797.331	 -0.0457
1801.188	 -0.0454
1805.045	 -0.0457
1808.902	 -0.0456
1812.759	 -0.0454
1816.616	 -0.0449
1820.473	 -0.0446
1824.330	 -0.0454
1828.186	 -0.0440
1832.043	 -0.0439
1835.900	 -0.0449
1839.757	 -0.0453
1843.614	 -0.0452
1847.471	 -0.0441
1851.328	 -0.0442
1855.185	 -0.0435
1859.042	 -0.0437
1862.899	 -0.0443
1866.756	 -0.0442
1870.613	 -0.0450
1874.470	 -0.0446
1878.327	 -0.0446
1882.184	 -0.0443
1886.040	 -0.0442
1889.897	 -0.0441
1893.754	 -0.0453
1897.611	 -0.0450
1901.468	 -0.0455
1905.325	 -0.0448
1909.182	 -0.0458
1913.039	 -0.0460
1916.896	 -0.0462
1920.753	 -0.0467
1924.610	 -0.0471
1928.467	 -0.0478
1932.324	 -0.0480
1936.181	 -0.0488
1940.038	 -0.0493
1943.894	 -0.0507
1947.751	 -0.0512
1951.608	 -0.0514
1955.465	 -0.0521
1959.322	 -0.0529
1963.179	 -0.0535
1967.036	 -0.0554
1970.893	 -0.0560
1974.750	 -0.0567
1978.607	 -0.0577
1982.464	 -0.0590
1986.321	 -0.0602
1990.178	 -0.0606
1994.035	 -0.0617
1997.892	 -0.0622
2001.749	 -0.0634
2005.605	 -0.0652
2009.462	 -0.0657
2013.319	 -0.0672
2017.176	 -0.0669
2021.033	 -0.0679
2024.890	 -0.0681
2028.747	 -0.0693
2032.604	 -0.0708
2036.461	 -0.0713
2040.318	 -0.0716
2044.175	 -0.0737
2048.032	 -0.0744
2051.889	 -0.0743
2055.746	 -0.0744
2059.603	 -0.0749
2063.459	 -0.0761
2067.316	 -0.0766
2071.173	 -0.0778
2075.030	 -0.0784
2078.887	 -0.0789
2082.744	 -0.0789
2086.601	 -0.0798
2090.458	 -0.0793
2094.315	 -0.0800
2098.172	 -0.0796
2102.029	 -0.0792
2105.886	 -0.0805
2109.743	 -0.0802
2113.600	 -0.0796
2117.457	 -0.0796
2121.313	 -0.0793
2125.170	 -0.0801
2129.027	 -0.0793
2132.884	 -0.0790
2136.741	 -0.0775
2140.598	 -0.0767
2144.455	 -0.0761
2148.312	 -0.0754
2152.169	 -0.0754
2156.026	 -0.0747
2159.883	 -0.0742
2163.740	 -0.0733
2167.597	 -0.0721
2171.454	 -0.0716
2175.311	 -0.0718
2179.167	 -0.0710
2183.024	 -0.0699
2186.881	 -0.0690
2190.738	 -0.0688
2194.595	 -0.0683
2198.452	 -0.0670
2202.309	 -0.0665
2206.166	 -0.0664
2210.023	 -0.0658
2213.880	 -0.0637
2217.737	 -0.0626
2221.594	 -0.0624
2225.451	 -0.0622
2229.308	 -0.0603
2233.165	 -0.0595
2237.021	 -0.0589
2240.878	 -0.0576
2244.735	 -0.0572
2248.592	 -0.0561
2252.449	 -0.0552
2256.306	 -0.0541
2260.163	 -0.0536
2264.020	 -0.0515
2267.877	 -0.0512
2271.734	 -0.0499
2275.591	 -0.0481
2279.448	 -0.0473
2283.305	 -0.0469
2287.162	 -0.0471
2291.019	 -0.0453
2294.875	 -0.0438
2298.732	 -0.0426
2302.589	 -0.0416
2306.446	 -0.0408
2310.303	 -0.0397
2314.160	 -0.0392
2318.017	 -0.0398
2321.874	 -0.0374
2325.731	 -0.0354
2329.588	 -0.0364
2333.445	 -0.0350
2337.302	 -0.0323
2341.159	 -0.0300
2345.016	 -0.0296
2348.873	 -0.0282
2352.729	 -0.0286
2356.586	 -0.0288
2360.443	 -0.0304
2364.300	 -0.0271
2368.157	 -0.0279
2372.014	 -0.0273
2375.871	 -0.0259
2379.728	 -0.0246
2383.585	 -0.0241
2387.442	 -0.0239
2391.299	 -0.0232
2395.156	 -0.0225
2399.013	 -0.0223
2402.870	 -0.0216
2406.727	 -0.0203
2410.583	 -0.0195
2414.440	 -0.0186
2418.297	 -0.0187
2422.154	 -0.0168
2426.011	 -0.0159
2429.868	 -0.0152
2433.725	 -0.0145
2437.582	 -0.0135
2441.439	 -0.0122
2445.296	 -0.0117
2449.153	 -0.0103
2453.010	 -0.0100
2456.867	 -0.0078
